team,classification,district,games_played,starting_year,starting_off,starting_def,starting_ovr,final_off,final_def,final_ovr
Truman,5,8,3,2025,0.2,-3.76,-3.56,-6.371197354275604,-12.91414289407638,-19.285340248351982
Montgomery County,2,2,3,2025,-7.02,1.29,-5.72,-13.915876772436214,-5.376415888899594,-19.292292661335807
Bowling Green,2,7,3,2025,-12.64,-19.12,-31.76,-5.145664797242099,-14.588525405390518,-19.734190202632618
Buffalo,3,5,3,2025,-15.87,-10.06,-25.93,-7.45371827049129,-12.483381350620649,-19.93709962111194
Hazelwood West,6,3,3,2025,-17.24,-11.58,-28.82,-12.258040625606812,-7.8946629793350755,-20.152703604941888
Fredericktown,3,1,3,2025,-15.57,-14.11,-29.69,-16.35589240429681,-4.306109797344291,-20.6620022016411
Carrollton,1,5,2,2025,-16.89,-15.18,-32.07,-10.58184062169952,-10.111006981976248,-20.692847603675766
Battle,5,7,3,2025,-4.9,-9.41,-14.31,-9.730241590666024,-11.062572739020403,-20.79281432968643
Marceline,1,8,3,2025,-14.82,-10.36,-25.18,-10.660528845590331,-10.824865689556704,-21.485394535147037
John Burroughs,3,3,2,2025,-15.52,-3.84,-19.36,-17.359088502785024,-4.504092702151898,-21.86318120493692
Butler,2,6,2,2025,-11.01,-10.17,-21.17,-10.843131128234173,-11.353806516172405,-22.196937644406578
Louisiana,1,2,3,2025,-15.86,-22.68,-38.54,-9.368580879946947,-13.556669349066723,-22.92525022901367
California,2,5,3,2025,-19.56,-12.21,-31.77,-13.094840036174805,-10.354674593957407,-23.449514630132214
Windsor (Imperial),4,1,3,2025,-10.34,-17.49,-27.83,-6.644482383643171,-17.455577378893647,-24.100059762536816
Lafayette County,2,6,3,2025,-9.51,-12.89,-22.4,-9.355033892691466,-15.160485168497154,-24.51551906118862
Herculaneum,3,2,3,2025,-8.58,-7.51,-16.08,-14.152130147063739,-10.904738537907559,-25.0568686849713
Mehlville,5,1,3,2025,-17.14,-5.38,-22.52,-13.814611030216376,-12.058953632072656,-25.873564662289034
Jefferson (Festus),2,2,3,2025,-12.03,-15.18,-27.2,-14.720388922835738,-11.46928916496204,-26.18967808779778
Kelly,2,1,2,2025,-23.68,-5.06,-28.74,-17.26565595514488,-8.9590085858438,-26.22466454098868
Fulton,3,4,3,2025,-15.1,-17.18,-32.28,-15.024301204228298,-11.95878638438435,-26.983087588612648
Parkway Central,5,2,3,2025,-16.09,-10.65,-26.73,-13.281925521091797,-13.998842762756043,-27.28076828384784
Reeds Spring,3,6,3,2025,-12.45,-12.21,-24.66,-16.207156511579626,-11.10991112109229,-27.317067632671915
Hollister,3,6,2,2025,-3.39,-11.0,-14.39,-10.343761063130126,-17.11750439806072,-27.461265461190848
