date,team1,team1_classified,score1,team2,team2_classified,score2,forfeit,overtime
2026-09-11,Mountain Grove,True,32,Ava,True,10,False,False
2026-09-11,Raytown South,True,24,Belton,True,26,False,False
2026-09-11,Blue Springs,True,38,Blue Springs South,True,17,False,False
2026-09-11,West Plains,True,27,Bolivar,True,20,False,False
2026-09-11,Eldon,True,0,Boonville,True,50,False,False
2026-09-11,Wright City,True,18,Bowling Green,True,54,False,False
2026-09-12,Lift for Life Academy Charter,True,6,Brentwood (TN.),False,45,False,False
2026-09-11,Crest Ridge with Chilhowee,True,21,Butler,True,45,False,False
2026-09-11,Willow Springs,True,42,Cabool,True,0,False,False
2026-09-11,Hallsville,True,55,California,True,26,False,False
2026-09-11,Smith-Cotton,True,18,Camdenton,True,55,False,False
2026-09-11,Excelsior Springs,True,13,Cameron,True,0,False,False
2026-09-11,Hickman,True,15,Capital City,True,14,False,False
2026-09-11,Seneca,True,25,Cassville,True,28,False,False
2026-09-10,Ruskin,True,17,Central (Kansas City),True,40,False,False
2026-09-11,Highland,True,20,Centralia,True,64,False,False
2026-09-11,SLUH,True,13,Chaminade College Prep,True,7,False,False
2026-09-11,Summit Christian Academy,True,14,Christ Preparatory (KS.),False,28,False,False
2026-09-10,Parkway South,True,54,Clayton with Brentwood,True,6,False,False
2026-09-11,Forsyth,True,13,Clever,True,35,False,False
2026-09-11,Center,True,35,Clinton,True,12,False,False
2026-09-11,Bayless with Hancock,True,41,Crystal City,True,8,False,False
2026-09-11,Grandview (Hillsboro),True,6,Cuba with Steelville,True,42,False,False
2026-09-11,Christian Brothers College,True,59,De Smet Jesuit,True,48,False,False
2026-09-11,St. Charles,True,34,Duchesne,True,12,False,False
2026-09-11,FL Schlagle (KS.),False,34,East (Kansas City),True,12,False,False
2026-09-11,Mid-Buchanan,True,48,East Buchanan,True,20,False,False
2026-09-11,Doniphan,True,7,East Prairie,True,8,False,False
2026-09-11,Hollister,True,13,Fair Grove,True,64,False,False
2026-09-11,Central (Cape Girardeau),True,2,Farmington,True,42,False,False
2026-09-11,Grain Valley,True,20,Fort Osage,True,15,False,False
2026-09-11,Hazelwood West,True,20,Fox,True,49,False,False
2026-09-11,St. Pius X (Kansas City),True,42,Francis Howell,True,0,False,False
2026-09-11,St. Charles West,True,42,Francis Howell North,True,2,False,False
2026-09-10,Orchard Farm,True,28,Ft. Zumwalt East,True,33,False,False
2026-09-11,Francis Howell Central,True,17,Ft. Zumwalt South,True,7,False,False
2026-09-11,Ft. Zumwalt North,True,33,Ft. Zumwalt West,True,26,False,False
2026-09-11,Osage,True,30,Fulton,True,7,False,False
2026-09-11,Willard,True,14,Glendale,True,69,False,False
2026-09-11,Southeast,False,0,Grandview,True,63,False,False
2026-09-11,Odessa,True,7,Harrisonville,True,10,False,False
2026-09-11,Rockwood Summit,True,63,Hazelwood Central,True,0,False,False
2026-09-11,Battle,True,0,Helias Catholic,True,52,False,False
2026-09-11,Jefferson (Festus),True,30,Herculaneum,True,14,False,False
2026-09-11,Parkview,True,12,Hillcrest,True,41,False,False
2026-09-11,Holt,True,33,Hillsboro,True,62,False,False
2026-09-11,Adrian,True,18,Holden,True,26,False,False
2026-09-11,Mehlville,True,21,Jennings,True,44,False,False
2026-09-10,Westminster Christian Academy,True,34,John Burroughs,True,0,False,False
2026-09-11,Central (New Madrid County),True,26,Kelly,True,58,False,False
2026-09-11,Dexter,True,31,Kennett,True,35,False,False
2026-09-11,Carthage,True,54,Kickapoo,True,6,False,False
2026-09-12,St. Michael the Archangel,True,51,KIPP KC Legacy,True,0,False,False
2026-09-11,Savannah,True,35,Kirksville,True,7,False,False
2026-09-11,Hazelwood East,True,15,Kirkwood,True,45,False,False
2026-09-11,Cardinal Ritter,True,22,Knoxville Catholic (TN.),False,28,False,False
2026-09-10,Riverview Gardens,True,0,Ladue Horton Watkins,True,49,False,False
2026-09-11,Pattonville,True,26,Lafayette (Wildwood),True,21,False,False
2026-09-11,Pembroke Hill,True,43,Lafayette County,True,13,False,False
2026-09-11,Lawson,True,13,Lathrop,True,30,False,False
2026-09-11,Joplin,True,32,Lebanon,True,34,False,False
2026-09-11,Oak Park,True,0,Lee's Summit,True,6,False,False
2026-09-11,Lee's Summit North,True,34,Lee's Summit West,True,7,False,False
2026-09-11,Central (St. Joseph),True,35,Liberty,True,31,False,False
2026-09-11,Thayer,True,26,Liberty (Mountain View),True,28,False,False
2026-09-11,North Kansas City,True,28,Liberty North,True,14,False,False
2026-09-11,Shawnee Mission South (KS.),False,9,Lincoln College Prep,True,7,False,False
2026-09-12,Lutheran North,True,13,Lincoln-Way Central (IL.),False,21,False,False
2026-09-11,Seckman,True,21,Lindbergh,True,14,False,False
2026-09-11,Windsor,True,18,Linn,True,0,False,False
2026-09-11,Carl Junction,True,19,Logan-Rogersville,True,35,False,False
2026-09-11,Carrollton,True,32,Lone Jack with Kingsville,True,0,False,False
2026-09-11,Hayti,True,60,Malden,True,0,False,False
2026-09-11,Richmond,True,38,Marshall,True,0,False,False
2026-09-11,Branson,True,42,Marshfield,True,21,False,False
2026-09-11,Chillicothe,True,7,Maryville,True,35,False,False
2026-09-11,Brookfield,True,38,Maysville,True,12,False,False
2026-09-10,Oakville,True,42,McCluer,True,16,False,False
2026-09-11,Lamar,True,42,McDonald County,True,14,False,False
2026-09-10,Lutheran South,True,16,MICDS,True,64,False,False
2026-09-11,Diamond,True,0,Miller,True,38,False,False
2026-09-10,Ste. Genevieve,True,63,Miller Career Academy with Sumner,True,8,False,False
2026-09-11,Veritas Christian Academy,True,55,Missouri Military Academy,False,0,False,False
2026-09-11,Lighthouse Sr. High,False,0,Moberly,True,20,False,False
2026-09-11,Mexico,True,26,Monroe City,True,6,False,False
2026-09-11,Rolla,True,21,Mountain Home (AR.),False,44,False,False
2026-09-11,Aurora,True,0,Mt. Vernon,True,26,False,False
2026-09-11,Monett,True,26,Nevada,True,32,False,False
2026-09-11,Republic,True,6,Nixa,True,49,False,False
2026-09-11,McCluer North,True,24,Normandy Collaborative,True,6,False,False
2026-09-11,Montgomery County,True,6,North Callaway,True,54,False,False
2026-09-11,DeSoto,True,22,North County,True,35,False,False
2026-09-11,Poplar Bluff,True,41,North Point,True,19,False,False
2026-09-11,JC Harmon (KS.),False,24,Northeast (Kansas City),True,23,False,False
2026-09-11,Warrensburg,True,30,Oak Grove,True,22,False,False
2026-09-11,Staley,True,21,Olathe East (KS.),False,8,False,False
2026-09-11,Russellville,True,36,Owensville,True,6,False,False
2026-09-11,Webb City,True,21,Ozark,True,18,False,False
2026-09-11,Clark County,True,19,Palmyra,True,72,False,False
2026-09-11,Park Hill South,True,20,Park Hill,True,38,False,False
2026-09-10,Parkway West,True,43,Parkway Central,True,0,False,False
2026-09-10,Eureka,True,40,Parkway North,True,14,False,False
2026-09-11,St. Vincent,True,42,Perryville,True,0,False,False
